,links,link_text,text_meta
13,"Link(url='https://www.google.com/url?q=https://github.com/journaldev/journaldev&sa=U&ved=2ahUKEwjn__upmLfsAhXMpJ4KHV-3BfMQFjAOegQIAxAB&usg=AOvVaw1QF5sNCfm8hnllLwSo26bw', text='journaldev/journaldev: JournalDev Projects - GitHubgithub.com › journaldev › journaldev', fragment='', nofollow=False)",journaldev/journaldev: JournalDev Projects - GitHubgithub.com › journaldev › journaldev,JournalDev. 16K likes. Its been more than 9 years working in IT industry. JournalDev is the platform I use to share my development experience.
14,"Link(url='https://www.google.com/url?q=https://github.com/journaldev&sa=U&ved=2ahUKEwjn__upmLfsAhXMpJ4KHV-3BfMQFjAPegQIABAB&usg=AOvVaw2R-mI07azleWHTu5an0ChW', text='journaldev (Pankaj Kumar) · GitHubgithub.com › journaldev', fragment='', nofollow=False)",journaldev (Pankaj Kumar) · GitHubgithub.com › journaldev,The perceived state of front-end development tools and technologies might be quite different from the reality.
15,"Link(url='https://www.google.com/url?q=https://www.facebook.com/JournalDev/&sa=U&ved=2ahUKEwjn__upmLfsAhXMpJ4KHV-3BfMQFjAQegQIARAB&usg=AOvVaw1Sd7izWjnTKinIWL8wn2dt', text='JournalDev - Home | Facebookwww.facebook.com › Pages › Other › Brand › Website › Education Website', fragment='', nofollow=False)",JournalDev - Home | Facebookwww.facebook.com › Pages › Other › Brand › Website › Education Website,"Pankaj Kumar. Founder of Journaldev.com. Journaldev.comNational Institute of Technology, Jamshedpur. Bengaluru Area, India ..."
16,"Link(url='https://www.google.com/url?q=https://adactio.com/journal/15011&sa=U&ved=2ahUKEwjn__upmLfsAhXMpJ4KHV-3BfMQFjARegQIAhAB&usg=AOvVaw2gWC34k35oT5AOHNkyocVt', text='Journal—Dev perception - Adactioadactio.com › journal', fragment='', nofollow=False)",Journal—Dev perception - Adactioadactio.com › journal, 
17,"Link(url='https://www.google.com/url?q=https://in.linkedin.com/in/pankaj00&sa=U&ved=2ahUKEwjn__upmLfsAhXMpJ4KHV-3BfMQFjASegQIBRAB&usg=AOvVaw3xlI1EQPr7HZMG9OA5YsLr', text='Pankaj Kumar - Founder - Journaldev.com | LinkedInin.linkedin.com › pankaj00', fragment='', nofollow=False)",Pankaj Kumar - Founder - Journaldev.com | LinkedInin.linkedin.com › pankaj00, 
18,"Link(url='https://www.google.com/search?ie=UTF-8&q=Journal+dev+Python&sa=X&ved=2ahUKEwjn__upmLfsAhXMpJ4KHV-3BfMQ1QJ6BAgEEAI', text='Journal dev Python', fragment='', nofollow=False)",Journal dev Python, 
19,"Link(url='https://www.google.com/search?ie=UTF-8&q=Journal+dev+design+patterns&sa=X&ved=2ahUKEwjn__upmLfsAhXMpJ4KHV-3BfMQ1QJ6BAgEEAQ', text='Journal dev design patterns', fragment='', nofollow=False)",Journal dev design patterns, 
20,"Link(url='https://www.google.com/search?ie=UTF-8&q=Journal+dev+Spring&sa=X&ved=2ahUKEwjn__upmLfsAhXMpJ4KHV-3BfMQ1QJ6BAgEEAY', text='Journal dev Spring', fragment='', nofollow=False)",Journal dev Spring, 
21,"Link(url='https://www.google.com/search?ie=UTF-8&q=Journal+dev+Android&sa=X&ved=2ahUKEwjn__upmLfsAhXMpJ4KHV-3BfMQ1QJ6BAgEEAg', text='Journal dev Android', fragment='', nofollow=False)",Journal dev Android, 
22,"Link(url='https://www.google.com/search?ie=UTF-8&q=Journal+dev+Spring+Framework&sa=X&ved=2ahUKEwjn__upmLfsAhXMpJ4KHV-3BfMQ1QJ6BAgEEAo', text='Journal dev Spring Framework', fragment='', nofollow=False)",Journal dev Spring Framework, 
23,"Link(url='https://www.google.com/search?ie=UTF-8&q=Journal+dev+Java+Interview+Questions&sa=X&ved=2ahUKEwjn__upmLfsAhXMpJ4KHV-3BfMQ1QJ6BAgEEAw', text='Journal dev Java Interview Questions', fragment='', nofollow=False)",Journal dev Java Interview Questions, 
24,"Link(url='https://www.google.com/search?ie=UTF-8&q=Journaldev+GitHub&sa=X&ved=2ahUKEwjn__upmLfsAhXMpJ4KHV-3BfMQ1QJ6BAgEEA4', text='Journaldev GitHub', fragment='', nofollow=False)",Journaldev GitHub, 
25,"Link(url='https://www.google.com/search?ie=UTF-8&q=JournalDev+EJB&sa=X&ved=2ahUKEwjn__upmLfsAhXMpJ4KHV-3BfMQ1QJ6BAgEEBA', text='JournalDev EJB', fragment='', nofollow=False)",JournalDev EJB, 
26,"Link(url='https://www.google.com/url?q=https://accounts.google.com/ServiceLogin%3Fcontinue%3Dhttps://www.google.com/search%253Fq%253Djournal%252Bdev%26hl%3Den&sa=U&ved=0ahUKEwjn__upmLfsAhXMpJ4KHV-3BfMQxs8CCFA&usg=AOvVaw3oI2KxHph99DcebiCEXxqC', text='Sign in', fragment='', nofollow=False)",Sign in, 
